Deal ID,CID,Miner ID,Filename,Size (bytes),Date stored (UTC),Piece CID,Price per epoch,Start epoch,Activation Epoch,Duration,Wallet,Deal state
1413825,QmakWcRykb4rwRVjvMY52xgPjEiHfJs6hu1pJeEFNAGshc,f079817,deplatformr-open-images-447.tar,1065353216,2020-12-04 16:51:23,baga6ea4seaqhzingphutwhlw4tucjuywh6sdvfkjhx6q57ew5bksrcgexd2aiei,10000000000,300282,293114,523360,f3qne2hc6e6hoki2o47urwodci3546z2govz6zjachm3yeogj6rfqyoh2xticeuwwt7rk6yfbit7xvdiukt4tq,StorageDealActive
1413813,QmbzKn4xZeAzr99qbK2HWmD9CbUrEUzdcLonga9j5dpkNB,f079817,deplatformr-open-images-446.tar,1065353216,2020-12-04 16:50:19,baga6ea4seaqbqrv44fgjd7tfyf3zqp3fcberrnvgrejekmwkxhvvt3k3fohykli,10000000000,300280,293114,523362,f3qne2hc6e6hoki2o47urwodci3546z2govz6zjachm3yeogj6rfqyoh2xticeuwwt7rk6yfbit7xvdiukt4tq,StorageDealActive
1413792,QmeWky8dE2BnyK5tiFcVuWvnioTjAtEf97f4s38VX5RyAe,f089840,deplatformr-open-images-450.tar,1065353216,2020-12-04 16:07:21,baga6ea4seaqbk2jpspfetjfafu6x44t42rp3wada447rox6oi346j47ahwtjmjq,500000000,300284,293042,522875,f3qne2hc6e6hoki2o47urwodci3546z2govz6zjachm3yeogj6rfqyoh2xticeuwwt7rk6yfbit7xvdiukt4tq,StorageDealActive
1413812,QmZgRCFJEBjHFbqzGeVHSM5S1zjB5b14XenPPbRzsMf3vj,f089840,deplatformr-open-images-448.tar,1065353216,2020-12-04 16:06:26,baga6ea4seaqpd44d7wbaoqfugkdirp6n5cxh2m62pj5dmem5zzceq4r4mpc2ypy,500000000,300282,293042,522877,f3qne2hc6e6hoki2o47urwodci3546z2govz6zjachm3yeogj6rfqyoh2xticeuwwt7rk6yfbit7xvdiukt4tq,StorageDealActive
1413811,QmakWcRykb4rwRVjvMY52xgPjEiHfJs6hu1pJeEFNAGshc,f089840,deplatformr-open-images-447.tar,1065353216,2020-12-04 16:06:23,baga6ea4seaqhzingphutwhlw4tucjuywh6sdvfkjhx6q57ew5bksrcgexd2aiei,500000000,300282,293042,522877,f3qne2hc6e6hoki2o47urwodci3546z2govz6zjachm3yeogj6rfqyoh2xticeuwwt7rk6yfbit7xvdiukt4tq,StorageDealActive
1413087,Qmf1axtq7u81dRRxWqscBaSFVQpeG153SQRrv6vTwEZat4,f089840,deplatformr-open-images-442.tar,1065353216,2020-12-04 16:05:28,baga6ea4seaqiamzauuofrq77icjz525y2d5runy6m3ci7uszcf5nw7ffqrxxyfy,500000000,300100,293042,523059,f3qne2hc6e6hoki2o47urwodci3546z2govz6zjachm3yeogj6rfqyoh2xticeuwwt7rk6yfbit7xvdiukt4tq,StorageDealActive
1413785,QmbzKn4xZeAzr99qbK2HWmD9CbUrEUzdcLonga9j5dpkNB,f089840,deplatformr-open-images-446.tar,1065353216,2020-12-04 16:05:19,baga6ea4seaqbqrv44fgjd7tfyf3zqp3fcberrnvgrejekmwkxhvvt3k3fohykli,500000000,300280,293042,522879,f3qne2hc6e6hoki2o47urwodci3546z2govz6zjachm3yeogj6rfqyoh2xticeuwwt7rk6yfbit7xvdiukt4tq,StorageDealActive
1413737,QmTJGqUEdhWjRXv5kv4BZc5LG3ovb28z17XfYCjLU1MHgR,f089840,deplatformr-open-images-444.tar,1065353216,2020-12-04 16:04:09,baga6ea4seaqgditrx5jaqfpf3j7w3tgpg2r3cl4w2js7qomm5db4ngp5ons2cly,500000000,300278,293042,522881,f3qne2hc6e6hoki2o47urwodci3546z2govz6zjachm3yeogj6rfqyoh2xticeuwwt7rk6yfbit7xvdiukt4tq,StorageDealActive
1410879,QmbCeghyRUPNeGdWgcPCQ9AGdm3SP6o342jxZ1rKVxhMSr,f067545,deplatformr-open-images-440.tar,1065353216,2020-12-04 14:20:39,baga6ea4seaqpve3u7wz6ubkiodj27mj6jz3rybwpvyy2kj6aziduumn5qsqochy,1000000000,297071,292811,522001,f3qne2hc6e6hoki2o47urwodci3546z2govz6zjachm3yeogj6rfqyoh2xticeuwwt7rk6yfbit7xvdiukt4tq,StorageDealActive
1410878,QmSH8twD4g9Gq4mN43sbmaN78sGmHSrHeT7ZgC3rhMt5Yf,f067545,deplatformr-open-images-438.tar,1065353216,2020-12-04 14:19:45,baga6ea4seaqeajhqvx2767s2jxmsmnvywqn6lyso3g572wwkd5vpjxenj7ag4ia,1000000000,297069,292811,522003,f3qne2hc6e6hoki2o47urwodci3546z2govz6zjachm3yeogj6rfqyoh2xticeuwwt7rk6yfbit7xvdiukt4tq,StorageDealActive
