Filename,CID,Job ID,Status,Created,Deal State,Deal Message,Piece CID,Miner
deplatformr-open-images-423.tar,QmRZyY1YBt4roCAgkH751NyUgAnLRwWuPeMWoTRfe1UyDL,a14f4bf9-799a-4339-b4e4-3c3e54a1466c,JOB_STATUS_EXECUTING,2020-11-20 18:48:25
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqgdog3lzohulpcmmxct7giykog44hq2mfekymj2246jqdeh2ieqki,f02665
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqgdog3lzohulpcmmxct7giykog44hq2mfekymj2246jqdeh2ieqki,f022308
,,,,,StorageDealActive,,baga6ea4seaqgdog3lzohulpcmmxct7giykog44hq2mfekymj2246jqdeh2ieqki,f022352
deplatformr-open-images-297.tar,QmdqjygbFn1cHgZrgjqmEwjTt8KHuLgaiCxG5ggkt4Nife,1b48fc47-3de4-42cc-8b55-aebba9547e41,JOB_STATUS_EXECUTING,2020-11-14 19:33:24
,,,,,StorageDealTransferring,,baga6ea4seaqhe4vv22k5iodxbi4ut45ddbiwzr4imwns4bqcwdtyqg3n3gacyja,f022308
,,,,,StorageDealActive,,baga6ea4seaqhe4vv22k5iodxbi4ut45ddbiwzr4imwns4bqcwdtyqg3n3gacyja,f022352
deplatformr-open-images-353.tar,QmUPnDxSLqUtARYDKmFS12a1iiL1HYN7RbP22TW7FUSYGw,302f39e1-9a7a-439b-a0da-6e05965b03dc,JOB_STATUS_EXECUTING,2020-11-13 20:03:54
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqducjo6266dpr6354twvh7maihoaiu34prpl34cxdothpbjzframi,f022352
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqducjo6266dpr6354twvh7maihoaiu34prpl34cxdothpbjzframi,f022308
deplatformr-open-images-384.tar,QmUmvWgeqgJgbRRgFevFLQW5wf1HkSjqxkGHro1FfgSLYK,359496fe-082d-4140-8eb7-e950d8ce81b7,JOB_STATUS_EXECUTING,2020-11-17 04:44:54
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqbyx35ixuezaxbfoihxerqltzgfs35fw4734aw77bz576cdwoa2oi,f022308
,,,,,StorageDealActive,,baga6ea4seaqbyx35ixuezaxbfoihxerqltzgfs35fw4734aw77bz576cdwoa2oi,f022352
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqbyx35ixuezaxbfoihxerqltzgfs35fw4734aw77bz576cdwoa2oi,f02665
deplatformr-open-images-377.tar,QmSMo6gmM1RNYwhraGekehqWPkDXjHUeFq8zRyacEu26mX,449e2163-c1ef-4a9b-a1a8-8eb0cf19b268,JOB_STATUS_EXECUTING,2020-11-15 19:44:40
,,,,,StorageDealTransferring,,baga6ea4seaqdoxvxko5gymssmt7aiqbiqxavfmhyzjuk4rdvdtgft7y75ed6efy,f022308
,,,,,StorageDealTransferring,,baga6ea4seaqdoxvxko5gymssmt7aiqbiqxavfmhyzjuk4rdvdtgft7y75ed6efy,f02665
,,,,,StorageDealActive,,baga6ea4seaqdoxvxko5gymssmt7aiqbiqxavfmhyzjuk4rdvdtgft7y75ed6efy,f022352
deplatformr-open-images-382.tar,QmWwriTB4W57e246uzjL3k7LJmPEYK3SAtQQ4t4eDQe11Y,479e28c8-f448-4d26-a502-24bfc461243b,JOB_STATUS_EXECUTING,2020-11-17 04:44:29
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqm25jnf3jmqofngay7xuku3ealxdffb5nanqzbidsbgrb345t4aba,f022352
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqm25jnf3jmqofngay7xuku3ealxdffb5nanqzbidsbgrb345t4aba,f02665
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqm25jnf3jmqofngay7xuku3ealxdffb5nanqzbidsbgrb345t4aba,f022308
deplatformr-open-images-268.tar,QmRQRS2WDytUP3YaCBWp8FP3258A3kDdnsu89LsPT7k1jT,69603822-615c-4bea-a949-2704a2cf1c29,JOB_STATUS_EXECUTING,2020-11-19 22:18:39
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqjpcre7qxypxzqh5bwer2hgstlclgxgofnaoo4x4ujniabkcvz6mq,f022308
